SimulationName,SimulationID,CheckpointID,CheckpointName,Clock.Today,Wheat.AboveGroundWtAtFlowering,Wheat.AboveGroundWtAtMaturity,Wheat.Grain.HI,Wheat.Grain.Number,Wheat.Grain.Size,Wheat.Grain.Wt,Wheat.Leaf.LAIAtFlagLeaf,Wheat.Leaf.LAIAtFlowering,Wheat.Phenology.FlagLeafDAS,Wheat.Phenology.FloweringDAS,Wheat.Phenology.MaturityDAS,Wheat.Phenology.TerminalSpikeletDAS,Wheat.SowingDate,Wheat.SowingDate.Date,Wheat.Stem.PercentWSCAtFlowering,Wheat.Stem.StemPercentWSCAtMaturity,Wheat.Stem.StemWtAtMaturity,Wheat.Stem.WtAtFlowering,Wheat.Structure.FinalLeafNumber,Wheat.Structure.FinalStemNumber,Wheat.Structure.MaximumStemNumber,Zone,Year,TranspirationBeforeFlowering,TranspirationWholeSeason,WaterUptakeWholeSeason,WaterUptakeBeforeFlowering,WaterUptakeFloweringToMaturiy,PAWCAtSowing,PAWAtSowing,PAWCAtMaturity,PAWAtMaturity,RainBeforeFlowering,RainFloweringToMaturity,FWDC31ToFlag,FWDC31ToStart,FWFlagToStart,FWStartToEnd,EnvType,StressTrace_1,StressTrace_2,StressTrace_3,StressTrace_4,StressTrace_5,StressTrace_6,StressTrace_7,StressTrace_8,StressTrace_9,StressTrace_10,StressTrace_11,StressTrace_12,StressTrace_13,StressTrace_14,StressTrace_15,StressTrace_16,StressTrace_17,StressTrace_18
10007,1,1,       Current, 1957-11-10,504.349,800.169,0.283,14441.354,0.016,226.297,1.873,1.467,124,146,207,74,      1957-04-01,           1957-04-01,0.098,0,337.441,314.824,13.361,9.706,24.002,Field,1957,48.004,87.233,87.233,48.004,39.229,0.579,0.11,0.579,0.034,187,13.799999999999999,1,0.996320987654321,0.9903870967741936,0.7721,1,0.4911666666666667,0.28650000000000003,0.5492857142857143,0.7121428571428572,1,1,1,1,1,1,1,1,1,0.986875,0.9763,0.9505,0.7498571428571429,0.5065714285714286
10007,1,1,       Current, 1958-11-21,355.445,364.678,0.078,10459.149,0.003,28.29,0.735,0.213,121,149,217,77,      1958-04-01,           1958-04-01,0.114,0,245.039,269.48,13.44,12.538,19.715,Field,1958,33.664,36.716,36.716,33.664,3.052,0.579,0.106,0.579,0.5,268.8,73.9,1,1,1,1,1,0.8843333333333333,0.7818,1,0.9265,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10007,1,1,       Current, 1959-11-01,381.842,802.252,0.386,10425.998,0.03,309.469,1.944,1.885,112,131,196,79,      1959-04-01,           1959-04-01,0.073,0.003,248.788,192.316,14.341,11.681,18.978,Field,1959,38.016,89.87,89.87,38.016,51.854,0.579,0.114,0.579,0.068,142.2,64.1,1,0.9926190476190476,0.9845,0.7933269230769231,1,0.45825,0.432,0.39066666666666666,0.303875,0.805,1,1,1,1,1,1,0.9831,0.9582857142857143,0.9996,1,0.8772857142857143,0.6718333333333333,0.6976666666666667
10007,1,1,       Current, 1960-11-13,552.635,910.59,0.297,15615.336,0.017,270.672,2.839,2.583,121,145,209,68,      1960-04-01,           1960-04-01,0.112,0,331.649,298.199,11.696,5.418,21.614,Field,1960,54.233,97.018,97.018,54.233,42.785000000000004,0.579,0.111,0.579,0.018,178.5,34.4,1,0.9644482758620689,0.9090294117647059,0.5825294117647059,2,0.9424,0.9071111111111111,0.597625,1,1,1,1,1,1,1,1,1,0.9947,0.9076,0.587,0.8200000000000001,0.7496666666666667,0.548375
10007,1,1,       Current, 1961-10-30,676.51,1249.361,0.328,18180.895,0.023,410.001,4.283,3.976,109,133,194,66,      1961-04-01,           1961-04-01,0.111,0,405.1,333.006,12.328,12.101,51.425,Field,1961,62.718,130.079,130.079,62.718,67.361,0.579,0.112,0.579,0.046,253.9,30,1,0.9922948717948717,0.9828285714285714,0.6820212765957446,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8785000000000001,0.9165,0.8051428571428572,0.5948571428571429
10007,1,1,       Current, 1962-11-11,15.872,15.724,0.006,364.361,0,0.089,0,0,119,142,207,77,      1962-04-01,           1962-04-01,0.023,0,10.174,10.41,14.329,6.607,6.773,Field,1962,3.628,3.628,3.628,3.628,0,0.579,0.11,0.579,0.522,214.6,37.4,1,1,1,1,1,0.3482,0.7595,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10007,1,1,       Current, 1963-11-06,347.925,402.447,0.119,9777.356,0.005,47.751,0.737,0.498,119,140,203,76,      1963-04-01,           1963-04-01,0.122,0,224.367,233.603,13.142,7.847,7.847,Field,1963,32.846,38.797,38.797,32.846,5.951,0.579,0.111,0.579,0.472,328,77.3,1,1,1,1,1,0.8823333333333333,0.8602857142857143,0.96625,0.8726666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10007,1,1,       Current, 1964-11-12,56.888,84.922,0.284,1393.906,0.017,24.159,0.088,0.083,109,129,207,72,      1964-04-01,           1964-04-01,0.091,0,34.427,33.732,12.451,6.448,9.309,Field,1964,7.832,10.684,10.684,7.832,2.852,0.579,0.162,0.579,0.501,215.1,54.1,1,1,1,1,1,1,0.955875,0.3806,0.3512,0.58475,0.8723636363636363,1,1,1,1,1,1,1,1,1,1,1,1
10007,1,1,       Current, 1965-11-10,295.558,319.906,0.11,8073.735,0.004,35.293,0.46,0.215,118,142,205,76,      1965-04-01,           1965-04-01,0.114,0,192.467,209.332,13.403,10.944,10.944,Field,1965,35.168,39.099,39.099,35.168,3.931,0.579,0.106,0.579,0.522,280.8,62.6,1,1,1,1,1,0.34325,0.948625,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10007,1,1,       Current, 1966-11-16,202.195,231.004,0.159,5345.289,0.007,36.707,0.207,0.134,125,148,214,73,      1966-04-01,           1966-04-01,0.13,0,127.429,139.948,12.744,12.264,12.264,Field,1966,32.541,36.83,36.83,32.541,4.289,0.579,0.114,0.579,0.573,248,93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10007,1,1,       Current, 1967-11-07,373.061,381.044,0.063,10596.79,0.002,23.968,0.576,0.199,121,146,204,78,      1967-04-01,           1967-04-01,0.097,0,256.322,277.255,14.068,20.275,22.37,Field,1967,42.296,45.185,45.185,42.296,2.8890000000000002,0.579,0.111,0.579,0.39,236,24.599999999999998,1,1,1,1,1,0.34950000000000003,0.7707142857142857,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10007,1,1,       Current, 1968-11-17,163.9,217.948,0.259,4152.41,0.014,56.416,0.21,0.176,117,146,212,71,      1968-04-01,           1968-04-01,0.155,0,95.11,103.729,11.678,7.79,7.79,Field,1968,23.873,31.562,31.562,23.873,7.689,0.579,0.112,0.579,0.467,307.5,57.3,1,1,1,1,1,1,1,0.985625,0.9865,0.9995555555555555,0.964,1,1,1,1,1,1,1,1,1,1,1,1
10007,1,1,       Current, 1969-11-03,352.404,359.98,0.084,9987.783,0.003,30.196,0.976,0.488,119,140,200,78,      1969-04-01,           1969-04-01,0.131,0,221.536,248.474,13.202,9.787,11.528,Field,1969,36.453,38.832,38.832,36.453,2.379,0.579,0.112,0.579,0.028,114.7,28.5,0.9437179487179487,0.784,0.5797741935483871,0.9205,3,0.5358333333333334,0.2704,0.5747142857142857,0.6413333333333333,1,1,1,1,1,0.9601666666666666,0.8439090909090909,0.7161666666666666,0.8114166666666667,0.286,0.43179999999999996,0.7473,1,1
10007,1,1,       Current, 1970-11-08,222.196,359.948,0.338,5878.417,0.021,121.526,0.489,0.405,116,138,204,74,      1970-04-01,           1970-04-01,0.111,0.003,137.848,135.972,12.401,8.562,8.562,Field,1970,24.167,40.3,40.3,24.167,16.133,0.579,0.116,0.579,0.292,169.1,62,1,1,1,1,1,0.9965714285714286,1,1,0.5427142857142857,0.3162857142857143,1,1,1,1,1,1,1,1,1,1,1,1,1
10007,1,1,       Current, 1971-11-20,300.699,471.006,0.232,8210.045,0.013,109.463,1.434,1.291,123,147,214,81,      1971-04-01,           1971-04-01,0.025,0,197.607,165.526,12.701,9.181,38.6,Field,1971,27.046,41.271,41.271,27.046,14.225,0.579,0.118,0.579,0.002,113.89999999999999,62.099999999999994,0.9845121951219512,0.8512894736842105,0.6986176470588236,0.5523888888888889,2,0.6531111111111111,0.20466666666666666,0.45066666666666666,0.912,1,1,1,1,1,1,0.9627777777777777,0.6628333333333333,0.737,0.8894,0.407125,0.29275,0.5362222222222222,0.654
10007,1,1,       Current, 1972-11-12,16.706,16.346,0.011,370.63,0.001,0.188,0,0,125,149,209,73,      1972-04-01,           1972-04-01,0.058,0,10.041,10.589,14.101,5.66,17.843,Field,1972,3.879,3.879,3.879,3.879,0,0.579,0.106,0.579,0.512,215,32,1,1,1,1,1,0.538,0.7091666666666666,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10007,1,1,       Current, 1973-11-15,20.458,19.835,0.017,466.372,0.001,0.331,0,0,119,143,209,79,      1973-04-01,           1973-04-01,0.079,0,12.371,13.325,13.365,5.499,5.718,Field,1973,3.761,3.761,3.761,3.761,0,0.579,0.111,0.579,0.533,251.2,79.8,1,1,1,1,1,0.557,0.5337142857142857,0.7761428571428571,0.7966666666666666,0.9821428571428571,1,1,1,1,1,1,1,1,1,1,1,1,1
10007,1,1,       Current, 1974-11-08,335.484,367.036,0.106,9342.043,0.004,38.92,0.592,0.313,114,137,203,72,      1974-04-01,           1974-04-01,0.11,0,223.597,239.97,12.278,10.675,10.675,Field,1974,35.291,39.652,39.652,35.291,4.361,0.579,0.115,0.579,0.499,333.7,37.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10007,1,1,       Current, 1975-11-12,484.162,651.172,0.192,13525.47,0.009,124.833,1.246,1.02,116,142,208,77,      1975-04-01,           1975-04-01,0.09,0,318.983,308.604,13.191,7.636,7.636,Field,1975,64.427,84.064,84.064,64.427,19.637,0.579,0.407,0.579,0.312,169.2,69.39999999999999,1,0.9944,0.9883333333333333,0.9679056603773585,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9903,0.9641111111111111,1,0.8941428571428571,0.88,1
10007,1,1,       Current, 1976-10-30,56.366,56.481,0.084,1069.035,0.004,4.771,0.014,0.008,110,131,197,76,      1976-04-01,           1976-04-01,0.173,0,25.304,30.094,13.428,9.694,11.911,Field,1976,10.098,10.38,10.38,10.098,0.28200000000000003,0.579,0.112,0.579,0.306,79.2,82.2,1,1,1,1,1,0.3846,0.1812,0.2306,0.6357142857142857,0.858125,0.9933333333333333,1,1,1,1,1,1,1,1,1,1,1,1
10007,1,1,       Current, 1977-10-28,212.986,212.443,0.069,5856.263,0.003,14.724,0.212,0.094,108,128,193,75,      1977-04-01,           1977-04-01,0.128,0,142.082,159.609,13.094,12.484,12.484,Field,1977,27.273,28.182,28.182,27.273,0.909,0.579,0.115,0.579,0.043,97.1,34.6,1,1,1,1,1,0.9436,1,0.9426666666666667,0.9235714285714286,1,0.8592500000000001,1,1,1,1,1,1,1,1,1,1,1,1
10007,1,1,       Current, 1978-11-13,274.591,309.802,0.108,8127.995,0.004,33.313,0.651,0.381,125,147,210,85,      1978-04-01,           1978-04-01,0.13,0,182.753,193.563,14.075,12.988,14.712,Field,1978,25.099,30.176,30.176,25.099,5.077,0.579,0.108,0.579,0.392,185.4,41.4,0.9837777777777778,0.991774647887324,1,1,1,0.3048,0.484,0.2833333333333333,0.739875,1,1,0.9967777777777778,0.9107999999999999,1,1,1,1,1,1,1,1,1,1
10007,1,1,       Current, 1979-11-06,193.19,369.769,0.37,5283.565,0.026,136.836,0.604,0.569,112,138,205,76,      1979-04-01,           1979-04-01,0.047,0,124.811,105.565,12.84,10.266,23.868,Field,1979,19.935,40.686,40.686,19.935,20.751,0.579,0.116,0.579,0.112,108.2,47.6,1,1,1,1,1,0.6752,0.5081428571428571,0.3292857142857143,0.19533333333333333,0.8703,1,1,1,1,1,1,1,1,1,1,1,1,1
10007,1,1,       Current, 1980-11-05,198.467,211.841,0.11,5443.201,0.004,23.337,0.266,0.127,118,138,200,73,      1980-04-01,           1980-04-01,0.125,0,128.598,142.075,12.811,8.294,8.318,Field,1980,20.652,23.123,23.123,20.652,2.471,0.579,0.114,0.579,0.102,134.4,19.6,0.9946818181818182,0.9968378378378379,1,1,1,0.4208,0.9328,0.914125,0.5691666666666667,0.6741428571428572,0.9877142857142858,0.945,0.9665714285714285,1,1,1,1,1,1,1,1,1,1
10007,1,1,       Current, 1981-11-11,344.664,671.946,0.384,10006.342,0.026,258.103,1.486,1.389,128,152,206,92,      1981-04-01,           1981-04-01,0.106,0,212.746,187.048,14.063,8.295,50.36,Field,1981,27.857,80.385,80.385,27.857,52.528,0.579,0.113,0.579,0.172,225.8,23.8,1,0.9988787878787879,0.9975333333333334,0.9889130434782609,1,0.3712,0.44716666666666666,0.5316666666666666,0.9993333333333333,1,1,1,1,1,1,1,1,1,0.99075,1,0.9166666666666666,1,0.99875
10007,1,1,       Current, 1982-11-04,299.9,329.497,0.099,8935.629,0.004,32.752,0.607,0.326,124,141,200,80,      1982-04-01,           1982-04-01,0.102,0,211.785,224.662,13.536,10.962,14.251,Field,1982,29.951999999999998,34.782,34.782,29.951999999999998,4.83,0.579,0.111,0.579,0.312,126.7,74.1,1,0.9986956521739131,0.9964,1,1,0.76,0.9878571428571429,0.7748,0.6417142857142857,0.951375,0.578,0.9247,1,1,1,1,1,1,0.982,1,1,1,1
10007,1,1,       Current, 1983-10-27,17.854,17.383,0.015,404.515,0.001,0.269,0,0,113,132,193,72,      1983-04-01,           1983-04-01,0.064,0,10.818,11.558,13.671,5.332,10.363,Field,1983,3.72,3.72,3.72,3.72,0,0.579,0.119,0.579,0.43,120.4,81.9,1,1,1,1,1,0.5482,0.3886,0.898375,0.907,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10007,1,1,       Current, 1984-11-13,461.73,754.84,0.322,12702.599,0.019,243.249,1.246,1.096,124,149,209,74,      1984-04-01,           1984-04-01,0.101,0,291.001,276.765,13.035,7.676,7.676,Field,1984,54.281,90.12,90.12,54.281,35.839,0.579,0.11,0.579,0.195,233.7,35.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10007,1,1,       Current, 1985-10-31,64.22,85.946,0.206,1820.655,0.01,17.669,0.126,0.082,104,127,194,70,      1985-04-01,           1985-04-01,0.042,0,46.01,44.63,13.023,7.168,24.399,Field,1985,7.548,10.067,10.067,7.548,2.519,0.579,0.111,0.579,0.291,98.8,68.8,0.8573125,0.9328529411764706,1,1,1,0.4092,0.764,0.9921666666666666,0.7476666666666667,0.6283333333333333,1,1,1,0.7713333333333333,0.5437142857142857,1,1,1,1,1,1,1,1
